,Rank,Team,Wins Overall,Losses Overall,Wins Home,Losses Home,Wins Road,Losses Road,Perc_WinHome,Perc_LossHome,Perc_WinRoad,Perc_LossRoad,Year,difference
25,26,Sacramento Kings,22,44,16,17,6,27,48.484848484848484,51.515151515151516,18.181818181818183,81.81818181818183,2012,30.3030303030303
26,27,Cleveland Cavaliers,21,45,11,22,10,23,33.33333333333333,66.66666666666666,30.303030303030305,69.6969696969697,2012,3.030303030303024
27,28,New Orleans Pelicans,21,45,11,22,10,23,33.33333333333333,66.66666666666666,30.303030303030305,69.6969696969697,2012,3.030303030303024
28,29,Washington Wizards,20,46,11,22,9,24,33.33333333333333,66.66666666666666,27.27272727272727,72.72727272727273,2012,6.060606060606059
29,30,Charlotte Hornets,7,59,4,29,3,30,12.121212121212121,87.87878787878788,9.090909090909092,90.9090909090909,2012,3.0303030303030294
0,1,Miami Heat,66,16,37,4,29,12,90.2439024390244,9.75609756097561,70.73170731707317,29.268292682926827,2013,19.512195121951223
1,2,Oklahoma City Thunder,60,22,34,7,26,15,82.92682926829268,17.073170731707318,63.41463414634146,36.58536585365854,2013,19.512195121951216
2,3,San Antonio Spurs,58,24,35,6,23,18,85.36585365853658,14.634146341463413,56.09756097560976,43.90243902439025,2013,29.26829268292682
3,4,Denver Nuggets,57,25,38,3,19,22,92.6829268292683,7.317073170731707,46.34146341463415,53.65853658536586,2013,46.34146341463415
4,5,Los Angeles Clippers,56,26,32,9,24,17,78.04878048780488,21.951219512195124,58.536585365853654,41.46341463414634,2013,19.512195121951223
5,6,Memphis Grizzlies,56,26,32,9,24,17,78.04878048780488,21.951219512195124,58.536585365853654,41.46341463414634,2013,19.512195121951223
6,7,New York Knicks,54,28,31,10,23,18,75.60975609756098,24.390243902439025,56.09756097560976,43.90243902439025,2013,19.512195121951216
7,8,Brooklyn Nets,49,33,26,15,23,18,63.41463414634146,36.58536585365854,56.09756097560976,43.90243902439025,2013,7.317073170731703
8,9,Indiana Pacers,49,32,30,11,19,21,73.17073170731707,26.82926829268293,47.5,52.5,2013,25.670731707317074
9,10,Golden State Warriors,47,35,28,13,19,22,68.29268292682927,31.70731707317073,46.34146341463415,53.65853658536586,2013,21.951219512195124
10,11,Chicago Bulls,45,37,24,17,21,20,58.536585365853654,41.46341463414634,51.21951219512195,48.78048780487805,2013,7.317073170731703
11,12,Houston Rockets,45,37,29,12,16,25,70.73170731707317,29.268292682926827,39.02439024390244,60.97560975609756,2013,31.707317073170735
12,13,Los Angeles Lakers,45,37,29,12,16,25,70.73170731707317,29.268292682926827,39.02439024390244,60.97560975609756,2013,31.707317073170735
13,14,Atlanta Hawks,44,38,25,16,19,22,60.97560975609756,39.02439024390244,46.34146341463415,53.65853658536586,2013,14.634146341463413
14,15,Utah Jazz,43,39,30,11,13,28,73.17073170731707,26.82926829268293,31.70731707317073,68.29268292682927,2013,41.463414634146346
15,16,Boston Celtics,41,40,27,13,14,27,67.5,32.5,34.146341463414636,65.85365853658537,2013,33.353658536585364
16,17,Dallas Mavericks,41,41,24,17,17,24,58.536585365853654,41.46341463414634,41.46341463414634,58.536585365853654,2013,17.073170731707314
17,18,Milwaukee Bucks,38,44,21,20,17,24,51.21951219512195,48.78048780487805,41.46341463414634,58.536585365853654,2013,9.756097560975611
18,19,Philadelphia 76ers,34,48,23,18,11,30,56.09756097560976,43.90243902439025,26.82926829268293,73.17073170731707,2013,29.26829268292683
19,20,Toronto Raptors,34,48,21,20,13,28,51.21951219512195,48.78048780487805,31.70731707317073,68.29268292682927,2013,19.51219512195122
20,21,Portland Trail Blazers,33,49,22,19,11,30,53.65853658536586,46.34146341463415,26.82926829268293,73.17073170731707,2013,26.82926829268293
21,22,Minnesota Timberwolves,31,51,20,21,11,30,48.78048780487805,51.21951219512195,26.82926829268293,73.17073170731707,2013,21.95121951219512
22,23,Detroit Pistons,29,53,18,23,11,30,43.90243902439025,56.09756097560976,26.82926829268293,73.17073170731707,2013,17.073170731707318
23,24,Washington Wizards,29,53,22,19,7,34,53.65853658536586,46.34146341463415,17.073170731707318,82.92682926829268,2013,36.585365853658544
24,25,Sacramento Kings,28,54,20,21,8,33,48.78048780487805,51.21951219512195,19.51219512195122,80.48780487804879,2013,29.26829268292683
25,26,New Orleans Pelicans,27,55,16,25,11,30,39.02439024390244,60.97560975609756,26.82926829268293,73.17073170731707,2013,12.195121951219509
26,27,Phoenix Suns,25,57,17,24,8,33,41.46341463414634,58.536585365853654,19.51219512195122,80.48780487804879,2013,21.95121951219512
27,28,Cleveland Cavaliers,24,58,14,27,10,31,34.146341463414636,65.85365853658537,24.390243902439025,75.60975609756098,2013,9.756097560975611
28,29,Charlotte Hornets,21,61,15,26,6,35,36.58536585365854,63.41463414634146,14.634146341463413,85.36585365853658,2013,21.951219512195124
29,30,Orlando Magic,20,62,12,29,8,33,29.268292682926827,70.73170731707317,19.51219512195122,80.48780487804879,2013,9.756097560975608
0,1,San Antonio Spurs,62,20,32,9,30,11,78.04878048780488,21.951219512195124,73.17073170731707,26.82926829268293,2014,4.878048780487802
1,2,Oklahoma City Thunder,59,23,34,7,25,16,82.92682926829268,17.073170731707318,60.97560975609756,39.02439024390244,2014,21.951219512195117
2,3,Los Angeles Clippers,57,25,34,7,23,18,82.92682926829268,17.073170731707318,56.09756097560976,43.90243902439025,2014,26.82926829268292
3,4,Indiana Pacers,56,26,35,6,21,20,85.36585365853658,14.634146341463413,51.21951219512195,48.78048780487805,2014,34.14634146341463
4,5,Houston Rockets,54,28,33,8,21,20,80.48780487804879,19.51219512195122,51.21951219512195,48.78048780487805,2014,29.26829268292684
5,6,Miami Heat,54,28,32,9,22,19,78.04878048780488,21.951219512195124,53.65853658536586,46.34146341463415,2014,24.390243902439018
6,7,Portland Trail Blazers,54,28,31,10,23,18,75.60975609756098,24.390243902439025,56.09756097560976,43.90243902439025,2014,19.512195121951216
7,8,Golden State Warriors,51,31,27,14,24,17,65.85365853658537,34.146341463414636,58.536585365853654,41.46341463414634,2014,7.317073170731717
8,9,Memphis Grizzlies,50,32,27,14,23,18,65.85365853658537,34.146341463414636,56.09756097560976,43.90243902439025,2014,9.756097560975611
9,10,Dallas Mavericks,49,33,26,15,23,18,63.41463414634146,36.58536585365854,56.09756097560976,43.90243902439025,2014,7.317073170731703
10,11,Chicago Bulls,48,34,27,14,21,20,65.85365853658537,34.146341463414636,51.21951219512195,48.78048780487805,2014,14.63414634146342
11,12,Toronto Raptors,48,34,26,15,22,19,63.41463414634146,36.58536585365854,53.65853658536586,46.34146341463415,2014,9.756097560975604
12,13,Phoenix Suns,48,34,26,15,22,19,63.41463414634146,36.58536585365854,53.65853658536586,46.34146341463415,2014,9.756097560975604
13,14,Brooklyn Nets,44,38,28,13,16,25,68.29268292682927,31.70731707317073,39.02439024390244,60.97560975609756,2014,29.268292682926834
14,15,Washington Wizards,44,38,22,19,22,19,53.65853658536586,46.34146341463415,53.65853658536586,46.34146341463415,2014,0.0
15,16,Charlotte Hornets,43,39,25,16,18,23,60.97560975609756,39.02439024390244,43.90243902439025,56.09756097560976,2014,17.073170731707314
16,17,Minnesota Timberwolves,40,42,24,17,16,25,58.536585365853654,41.46341463414634,39.02439024390244,60.97560975609756,2014,19.512195121951216
17,18,Atlanta Hawks,38,44,24,17,14,27,58.536585365853654,41.46341463414634,34.146341463414636,65.85365853658537,2014,24.390243902439018
18,19,New York Knicks,37,45,19,22,18,23,46.34146341463415,53.65853658536586,43.90243902439025,56.09756097560976,2014,2.439024390243901
19,20,Denver Nuggets,36,46,22,19,14,27,53.65853658536586,46.34146341463415,34.146341463414636,65.85365853658537,2014,19.512195121951223
20,21,New Orleans Pelicans,34,48,22,19,12,29,53.65853658536586,46.34146341463415,29.268292682926827,70.73170731707317,2014,24.390243902439032
21,22,Cleveland Cavaliers,33,49,19,22,14,27,46.34146341463415,53.65853658536586,34.146341463414636,65.85365853658537,2014,12.195121951219512
22,23,Detroit Pistons,29,53,17,24,12,29,41.46341463414634,58.536585365853654,29.268292682926827,70.73170731707317,2014,12.195121951219512
23,24,Sacramento Kings,28,54,17,24,11,30,41.46341463414634,58.536585365853654,26.82926829268293,73.17073170731707,2014,14.63414634146341
24,25,Los Angeles Lakers,27,55,14,27,13,28,34.146341463414636,65.85365853658537,31.70731707317073,68.29268292682927,2014,2.4390243902439046
25,26,Boston Celtics,25,57,16,25,9,32,39.02439024390244,60.97560975609756,21.951219512195124,78.04878048780488,2014,17.073170731707314
26,27,Utah Jazz,25,57,16,25,9,32,39.02439024390244,60.97560975609756,21.951219512195124,78.04878048780488,2014,17.073170731707314
27,28,Orlando Magic,23,59,19,22,4,37,46.34146341463415,53.65853658536586,9.75609756097561,90.2439024390244,2014,36.58536585365854
28,29,Philadelphia 76ers,19,63,10,31,9,32,24.390243902439025,75.60975609756098,21.951219512195124,78.04878048780488,2014,2.439024390243901
